province,ward,code,type,lat,lon,population,area_km2,nearest_highway_type,distance_to_road_km,snapped_lat,snapped_lon
Hồ Chí Minh,xã Hưng Long,27628.0,xã,10.6594,106.645,71504.0,35.54,unclassified,0.0563,10.6592891,106.6445051
Hồ Chí Minh,xã Bình Chánh,27637.0,xã,10.6662,106.586,76187.0,21.33,residential,0.0309,10.6659219,106.5859987
Hồ Chí Minh,xã Bình Khánh,27667.0,xã,10.5788,106.887,35482.0,158.28,residential,3.4508,10.5878915,106.8572706
Hồ Chí Minh,xã An Thới Đông,27673.0,xã,10.5006,106.808,22607.0,257.85,residential,1.79,10.488764,106.7970477
Hồ Chí Minh,phường Phú Thọ Hòa,27022.0,phường,10.7923,106.621,140436.0,3.02,residential,0.0081,10.7923686,106.6209744
Hồ Chí Minh,xã Cần Giờ,27664.0,xã,10.4524,106.908,27130.0,157.01,primary,1.9348,10.452909,106.8905767
Hồ Chí Minh,xã Nhuận Đức,27511.0,xã,11.0321,106.499,40239.0,62.06,residential,0.2877,11.0344803,106.4979738
Hồ Chí Minh,xã Thái Mỹ,27526.0,xã,10.9898,106.407,49862.0,62.44,residential,0.026,10.9898724,106.4067775
Hồ Chí Minh,phường Tân Bình,27004.0,phường,10.8006,106.642,89373.0,2.12,residential,0.0214,10.8004917,106.6418409
Hồ Chí Minh,phường Tân Sơn Nhì,27019.0,phường,10.7987,106.63,117277.0,3.46,residential,0.0416,10.7983269,106.6300312
Hồ Chí Minh,xã Đông Thạnh,27568.0,xã,10.9069,106.645,190400.0,30.16,secondary,0.1133,10.9073171,106.6440685
Hồ Chí Minh,xã Phú Hòa Đông,27541.0,xã,10.9495,106.598,97766.0,59.75,residential,0.002,10.9494844,106.5980096
Hồ Chí Minh,xã Bình Mỹ,27544.0,xã,10.947,106.635,99675.0,54.43,residential,0.0069,10.9470539,106.6349698
Hồ Chí Minh,xã Bà Điểm,27592.0,xã,10.8567,106.55,204289.0,27.36,residential,0.1865,10.8572584,106.5484149
Hồ Chí Minh,xã Củ Chi,27553.0,xã,10.9518,106.533,128661.0,64.88,residential,0.0711,10.9512685,106.5333569
Hồ Chí Minh,xã Bình Hưng,27619.0,xã,10.7067,106.66,183697.0,32.63,unclassified,0.3011,10.7064286,106.662699
Hồ Chí Minh,phường Tân Sơn Hòa,26977.0,phường,10.806,106.666,64150.0,2.62,residential,0.0264,10.8057902,106.6658872
Hồ Chí Minh,phường Tân Sơn,27007.0,phường,10.8224,106.65,77229.0,10.12,unclassified,0.1476,10.8237294,106.6500446
Hồ Chí Minh,phường Tây Thạnh,27013.0,phường,10.8108,106.622,72616.0,3.95,residential,0.0173,10.8106756,106.6220937
Hồ Chí Minh,phường Tân Sơn Nhất,26968.0,phường,10.8007,106.658,84639.0,3.19,primary,0.0317,10.8009563,106.6578743
Hồ Chí Minh,phường Tân Hòa,26995.0,phường,10.7809,106.655,93437.0,1.47,primary,0.0178,10.7809171,106.6551595
Hồ Chí Minh,xã Tân An Hội,27496.0,xã,10.9633,106.471,84342.0,53.51,residential,0.208,10.9614424,106.4712484
Đồng Nai,phường Bình Long,25326.0,phường,11.6321,106.598,41048.0,49.1,residential,0.1024,11.6317823,106.5971337
Hồ Chí Minh,xã Hiệp Phước,27658.0,xã,10.614,106.757,67754.0,63.33,residential,0.2291,10.6131843,106.7551044
Hồ Chí Minh,xã Vĩnh Lộc,27601.0,xã,10.8237,106.553,167042.0,30.58,unclassified,0.0207,10.8238865,106.5530075
Hồ Chí Minh,xã Bình Lợi,27610.0,xã,10.754,106.516,47180.0,54.18,tertiary,0.2303,10.7555092,106.5174243
Đồng Nai,phường Đồng Xoài,25210.0,phường,11.53,106.817,35887.0,81.3,residential,0.5013,11.5263401,106.8196467
Hồ Chí Minh,xã Tân Nhựt,27595.0,xã,10.7048,106.562,115513.0,43.67,residential,0.0278,10.7050146,106.5621284
Hồ Chí Minh,xã Tân Vĩnh Lộc,27604.0,xã,10.7912,106.551,163839.0,34.05,residential,0.0254,10.791068,106.5508133
Hồ Chí Minh,xã An Nhơn Tây,27508.0,xã,11.1015,106.483,40896.0,77.7,residential,0.4888,11.1053907,106.4809377
Đồng Nai,phường Minh Hưng,25441.0,phường,11.4845,106.634,34123.0,99.7,residential,0.1656,11.4843935,106.6325116
Đồng Nai,phường Bình Phước,25195.0,phường,11.5209,106.899,11144.0,86.4,residential,0.1058,11.5207348,106.8999384
Hồ Chí Minh,xã Xuân Thới Sơn,27577.0,xã,10.89,106.557,103643.0,35.21,unclassified,0.4202,10.8878358,106.5601059
Hồ Chí Minh,xã Hóc Môn,27559.0,xã,10.9021,106.591,93323.0,16.43,tertiary,0.0266,10.9018878,106.5908887
Đồng Nai,phường Chơn Thành,25432.0,phường,11.4153,106.646,415.0,124.4,trunk,0.5344,11.4107961,106.6477018
Đồng Nai,phường An Lộc,25333.0,phường,11.7021,106.582,35531.0,88.7,residential,0.0578,11.7021467,106.5814812
Đồng Nai,phường Phước Long,25217.0,phường,11.819,107.018,,718.84,tertiary,0.1459,11.8184768,107.0167941
Đồng Nai,xã Bù Đăng,25396.0,xã,11.8184,107.249,32145.0,156.1,residential,0.132,11.81834,107.2501874
Đồng Nai,xã Đồng Phú,25363.0,xã,11.4115,106.847,45557.0,138.7,residential,0.1217,11.4117676,106.8480637
Hồ Chí Minh,xã Nhà Bè,27655.0,xã,10.7078,106.699,125832.0,37.1,residential,0.0191,10.7079035,106.6991375
Đồng Nai,xã Phước Sơn,25420.0,xã,11.6254,107.223,31005.0,386.6,unclassified,0.3128,11.6244269,107.2256442
Đồng Nai,xã Phú Nghĩa,25267.0,xã,11.9338,107.018,3392.0,279.4,secondary,1.2531,11.9225111,107.0178933
Đồng Nai,xã Tân Lợi,25378.0,xã,11.4329,106.991,22774.0,379.8,residential,0.1023,11.4327906,106.9919148
Đồng Nai,xã Thọ Sơn,25402.0,xã,11.8627,107.335,21457.0,307.7,residential,1.1789,11.8689626,107.3264225
Đồng Nai,xã Đak Nhau,25399.0,xã,11.9733,107.222,,182.57,residential,0.4063,11.9769517,107.2217479
Đồng Nai,xã Thuận Lợi,25387.0,xã,11.6055,106.867,23655.0,167.2,tertiary,1.0346,11.5965661,106.8696571
Đồng Nai,xã Nha Bích,25450.0,xã,11.5064,106.723,22278.0,137.1,residential,0.1052,11.5057833,106.7222804
Đồng Nai,xã Thiện Hưng,25308.0,xã,11.9688,106.798,35041.0,111.0,residential,0.0613,11.9683349,106.7977014
Đồng Nai,phường Phước Bình,25220.0,phường,11.834,106.94,44771.0,72.6,residential,0.0427,11.8336897,106.9402279
Đồng Nai,xã Hưng Phước,25309.0,xã,12.0352,106.877,12427.0,187.2,residential,0.534,12.0354329,106.8721944
Đồng Nai,xã Bom Bo,25405.0,xã,11.8698,107.15,27064.0,245.9,tertiary,2.3348,11.8489125,107.1475185
Đồng Nai,xã Bù Gia Mập,25222.0,xã,12.1358,107.168,8274.0,342.5,primary,0.1315,12.1346626,107.1683317
Đồng Nai,xã Nghĩa Trung,25417.0,xã,11.6841,107.117,32897.0,222.0,residential,0.4253,11.6813124,107.1196282
Đồng Nai,xã Tân Quan,25351.0,xã,11.6046,106.669,30385.0,148.3,residential,0.0286,11.6046927,106.6687596
Đồng Nai,xã Tân Tiến,25318.0,xã,11.9268,106.656,33994.0,207.2,unclassified,0.3326,11.924112,106.657324
Đồng Nai,xã Tân Hưng,25345.0,xã,11.6919,106.715,35222.0,92.41,residential,0.0988,11.6926121,106.7155346
Đồng Nai,xã Đồng Tâm,25390.0,xã,11.5709,107.021,35573.0,248.8,unclassified,0.2007,11.572607,107.0215954
Đồng Nai,xã Đa Kia,25231.0,xã,11.9028,106.863,31752.0,196.3,residential,0.1561,11.9040889,106.8624365
Đồng Nai,xã Đăk Ơ,25225.0,xã,12.067,107.056,,246.71,residential,0.4863,12.0713586,107.0555529
Đồng Nai,xã Minh Đức,25349.0,xã,11.6242,106.522,16944.0,167.1,residential,0.0148,11.6241767,106.5221313
Đồng Nai,xã Phú Riềng,25252.0,xã,11.6825,106.922,36232.0,117.4,residential,1.7307,11.669156,106.9139349
Đồng Nai,xã Tân Khai,25357.0,xã,11.5279,106.542,3614.0,161.8,secondary,0.1235,11.528893,106.5425026
