province,ward,code,type,lat,lon,population,area_km2
Hồ Chí Minh,phường Chánh Hiệp,25771,phường,11.0127,106.64,57176,19.89
Hồ Chí Minh,phường Bến Cát,25813,phường,11.1908,106.605,97928,100.89
Hồ Chí Minh,phường Tân Đông Hiệp,25945,phường,10.9304,106.774,100243,21.47
Hồ Chí Minh,phường Tân Uyên,25888,phường,11.0928,106.808,73032,94.67
Hồ Chí Minh,xã Thanh An,25807,xã,11.2442,106.434,25324,136.72
Hồ Chí Minh,xã Phú Giáo,25858,xã,11.3174,106.82,42739,192.83
Hồ Chí Minh,xã Thường Tân,25909,xã,11.0962,106.911,21238,120.70
Hồ Chí Minh,xã An Long,25867,xã,11.3269,106.699,17906,100.05
Hồ Chí Minh,phường Linh Xuân,26800,phường,10.8609,106.78,158334,12.29
Hồ Chí Minh,phường Tăng Nhơn Phú,26842,phường,10.8433,106.798,208233,16.51
Hồ Chí Minh,phường Thủ Đức,26824,phường,10.8426,106.757,118952,8.81
Hồ Chí Minh,phường Phước Long,26848,phường,10.8179,106.775,137331,9.23
Hồ Chí Minh,phường Long Bình,26833,phường,10.8614,106.834,100760,29.78
Hồ Chí Minh,phường Hiệp Bình,26809,phường,10.8431,106.722,215638,16.01
Hồ Chí Minh,phường Bình Trưng,27097,phường,10.7950,106.767,121382,14.82
Hồ Chí Minh,xã Phước Hòa,25882,xã,11.2411,106.773,42470,128.07
Hồ Chí Minh,xã Bàu Bàng,25822,xã,11.2824,106.623,42219,84.09
Hồ Chí Minh,xã Bắc Tân Uyên,25906,xã,11.1707,106.865,27964,143.69
Hồ Chí Minh,xã Minh Thạnh,25780,xã,11.4540,106.469,24215,159.06
Hồ Chí Minh,xã Long Hòa,25792,xã,11.3287,106.507,25215,166.76
Hồ Chí Minh,xã Phước Thành,25864,xã,11.3742,106.756,15803,123.49
Hồ Chí Minh,phường Bình Cơ,25915,phường,11.1530,106.765,64601,73.69
Hồ Chí Minh,phường Tam Bình,26803,phường,10.8727,106.733,153414,10.71
Hồ Chí Minh,phường Phú Thọ,27226,phường,10.7675,106.654,65369,1.37
Hồ Chí Minh,phường Hòa Bình,27211,phường,10.7702,106.645,69318,0.98
Hồ Chí Minh,phường Cầu Ông Lãnh,26758,phường,10.7607,106.69,78734,1.60
Hồ Chí Minh,phường Hòa Hưng,27163,phường,10.7776,106.67,96414,2.59
